OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GSAT0206 (GALILEO 10),2015-045B,2024-08-14T19:37:02.694720,1.70473543,0.0001762,55.1932,240.1442,323.718,36.32,0,U,40890,999,5559,0,8.6e-07,0
FREGAT R/B,2015-045C,2024-08-12T11:36:56.319552,1.67827812,0.002709,55.078,242.9538,229.1536,130.6592,0,U,40891,999,5469,0,7.2e-07,0
TJS-1,2015-046A,2024-08-16T18:42:24.326208,1.0027144,5.43e-05,0.0431,148.149,192.4504,60.6835,0,U,40892,999,3284,0,-1.54e-06,0
GAOFEN-9 01,2015-047A,2024-08-16T19:30:38.636352,14.80085486,0.0029333,97.7257,282.2047,168.0431,192.1484,0,U,40894,999,48106,0.00057748,4.359e-05,0
EXPRESS-AM8,2015-048A,2024-08-16T16:28:27.431040,1.0027157,4.36e-05,0.0081,160.5979,287.9283,110.1412,0,U,40895,999,3266,0,-1.09e-06,0
BLOCK DM-SL R/B,2015-048B,2024-08-15T16:43:24.128256,0.9865619,0.0096075,7.4454,67.4753,128.1401,232.8549,0,U,40896,999,3216,0,-2.4e-07,0
OBJECT A,2015-049A,2024-08-16T20:31:32.259072,15.44866404,0.0010349,97.4636,247.2965,99.5872,260.6546,0,U,40899,999,49399,0.0011644,0.00054973,0
KAITUO 1A,2015-049F,2024-08-16T20:56:11.522976,15.5589561,0.0008809,97.4808,249.0349,107.656,252.5657,0,U,40904,999,49385,0.0016355,0.0011483,0
OBJECT G,2015-049G,2024-08-16T20:06:21.621600,15.30504835,0.0013366,97.5222,239.6382,123.9791,236.2722,0,U,40905,999,49298,0.00083394,0.00024637,0
XW-2C,2015-049H,2024-08-16T18:06:38.278944,15.47554741,0.000956,97.4756,248.3271,92.8109,267.4235,0,U,40906,999,49382,0.0013002,0.00067406,0
XW-2D,2015-049J,2024-08-16T19:33:47.979360,15.58368979,0.0007629,97.4685,251.6832,90.3801,269.8329,0,U,40907,999,49411,0.0015103,0.00116199,0
LILACSAT-2,2015-049K,2024-08-16T20:57:08.507232,15.27918372,0.0013847,97.5243,239.0793,131.7268,228.5157,0,U,40908,999,49275,0.00071409,0.00019466,0
XW-2B,2015-049N,2024-08-16T21:02:52.160640,15.57233941,0.0007775,97.4662,251.7371,92.6702,267.5444,0,U,40911,999,49398,0.001464,0.00107858,0
CZ-4C DEB,2015-040C,2024-08-15T18:26:52.767456,13.10348264,0.0152207,100.2361,213.7356,36.4096,324.7253,0,U,43424,999,42441,0.00058899,1.76e-06,0
CZ-4C DEB,2015-040D,2024-08-16T10:18:17.321760,13.22332802,0.0141305,100.2453,306.1713,282.0854,76.446,0,U,43425,999,43201,0.00069041,2.58e-06,0
GAOFEN-9 DEB,2015-047B,2024-08-15T13:20:33.333504,14.50585413,0.0176124,98.1014,162.0379,355.9315,4.0438,0,U,44600,999,46821,0.0037587,0.00017997,0
GONETS-M 11,2015-020A,2024-08-16T19:58:20.373600,12.42873586,0.0016926,82.4819,88.0425,25.2141,334.9761,0,U,40552,999,42562,0.00044456,7.1e-07,0
GONETS-M 12,2015-020B,2024-08-16T21:16:12.176256,12.42884572,0.0015389,82.4855,88.9435,10.7292,349.4113,0,U,40553,999,42562,0.00044092,7.1e-07,0
GONETS-M 13,2015-020C,2024-08-16T20:36:59.519808,12.42874607,0.0013682,82.4815,87.7894,356.3582,3.7396,0,U,40554,999,42563,0.00049221,7.8e-07,0
COSMOS 2504,2015-020D,2024-08-16T16:36:11.029248,13.60412396,0.0610614,82.5177,28.4409,293.2117,60.5857,0,U,40555,999,45912,0.00028574,7.68e-06,0
BREEZE-KM R/B,2015-020E,2024-08-16T05:21:28.381824,12.80544463,0.0215269,82.489,293.8486,175.5551,184.7531,0,U,40556,999,43840,5.6406e-05,2.6e-07,0
THOR 7,2015-022A,2024-08-16T07:57:13.748832,1.00273912,0.0002766,0.0406,260.8514,241.6177,301.4031,0,U,40613,999,3409,0,-4e-08,0
ARIANE 5 R/B,2015-022C,2024-08-16T02:40:59.033568,2.96732901,0.6782255,5.6509,142.9777,176.602,192.8707,0,U,40615,999,8676,0.001755,0.00027797,0
TURKMENALEM52E/MONACOSAT,2015-023A,2024-08-16T13:21:09.916128,1.00272012,0.0002452,0.022,102.5582,48.6843,66.4769,0,U,40617,999,3413,0,1.06e-06,0
FALCON 9 R/B,2015-023B,2024-08-16T18:21:31.113216,3.91220605,0.6121861,25.293,21.2792,25.3897,355.0375,0,U,40618,999,10131,0.0013042,0.0002203,0
DIRECTV 15,2015-026A,2024-08-16T13:55:19.091712,1.00270476,3.13e-05,0.012,100.4597,345.3748,345.5916,0,U,40663,999,3375,0,-9.9e-07,0
SKY MEXICO-1,2015-026B,2024-08-16T12:43:49.329120,1.00272425,0.0002237,0.0121,74.3544,66.7553,296.493,0,U,40664,999,3373,0,-2.31e-06,0
ARIANE 5 R/B,2015-026C,2024-08-16T07:07:12.744192,2.63937622,0.7011894,4.0325,315.8205,318.1639,5.8469,0,U,40665,999,8194,0.0011546,7.799e-05,0
SENTINEL-2A,2015-028A,2024-08-16T19:14:46.389120,14.30824211,0.0001137,98.5656,303.2003,93.8992,266.2321,0,U,40697,999,47801,0.00026708,6.57e-06,0
AVUM R/B,2015-028B,2024-08-16T19:17:03.384096,15.1692306,0.0190271,98.6688,8.6496,42.9369,318.6535,0,U,40698,999,50082,0.00064227,0.00020251,0
COSMOS 2506,2015-029A,2024-08-16T19:25:52.012128,14.53849898,0.0008556,98.1473,281.382,73.1286,287.0849,0,U,40699,999,48560,0.00022011,8.81e-06,0
BREEZE-KM DEB,2015-020F,2024-08-13T07:42:27.189792,12.91268963,0.0229469,82.4844,250.9693,40.8774,320.9291,0,U,41718,999,43304,0.0002233,7.9e-07,0
BREEZE-KM DEB,2015-020G,2024-08-15T11:39:34.845408,12.75144481,0.0220956,82.4943,317.0715,246.7948,110.9743,0,U,41719,999,42697,0.00022808,6.3e-07,0
BREEZE-KM DEB,2015-020H,2024-08-14T08:51:15.858720,12.90959733,0.0230594,82.4837,251.3899,42.254,319.608,0,U,41720,999,43204,7.2799e-05,3.4e-07,0
BREEZE-KM DEB,2015-020J,2024-08-15T12:56:26.874816,12.74682845,0.0243947,82.4952,318.7462,250.2025,107.2624,0,U,41721,999,42674,0.00028752,7.8e-07,0
BREEZE-KM DEB,2015-020K,2024-08-15T14:24:50.346144,12.70483679,0.017831,82.4946,336.6595,311.5823,47.0104,0,U,41722,999,40664,0.00018099,4.8e-07,0
BREEZE-KM DEB,2015-020L,2024-07-28T20:22:24.775104,12.92491075,0.0224014,82.4844,258.7935,70.71,291.8089,0,U,41723,999,41039,0.00069492,2.24e-06,0
COSMOS 2506 DEB,2015-029C,2024-08-14T23:13:00.933024,14.6261618,0.0009745,98.1954,291.8051,103.7268,256.5019,0,U,47212,999,19911,0.002231,0.00011315,0
SENTINEL-3A,2016-011A,2024-08-16T19:50:31.848000,14.26735498,9.82e-05,98.6199,295.7467,90.8461,269.2832,0,U,41335,999,44261,0.00028295,6.41e-06,0
BREEZE-KM R/B,2016-011B,2024-08-16T07:33:18.618912,15.1330546,0.0181605,98.6435,347.9168,196.8796,162.634,0,U,41336,999,46552,0.0007884,0.00021113,0
ASTRO-H (HITOMI),2016-012A,2024-08-16T06:10:04.407744,15.04360448,0.0011147,31.0024,64.0984,13.7261,346.3678,0,U,41337,999,46607,0.00051067,7.393e-05,0
CHUBUSAT-2,2016-012B,2024-08-16T02:08:22.829568,15.09256757,0.0011251,31.0021,5.0261,114.906,245.2748,0,U,41338,999,46665,0.00074457,0.00012267,0
CHUBUSAT-3,2016-012C,2024-08-16T18:50:14.072640,15.08594495,0.0011218,31.0082,359.4259,125.7772,234.391,0,U,41339,999,46673,0.00078793,0.00012744,0
HORYU-4,2016-012D,2024-08-16T11:04:45.607872,15.18536352,0.0009037,31.0027,302.2371,218.8674,141.1317,0,U,41340,999,46731,0.0013318,0.00028446,0
H-2A R/B,2016-012E,2024-08-16T19:37:20.804160,15.20513987,0.001371,30.6236,114.5797,356.0075,4.0448,0,U,41341,999,46842,0.0010985,0.00024913,0
SES-9,2016-013A,2024-08-14T06:40:41.596608,1.00272346,0.0002152,0.0516,278.8069,191.14,61.695,0,U,41380,999,3101,0,-3.36e-06,0
FALCON 9 R/B,2016-013B,2024-08-15T21:06:46.978560,2.034488,0.7473621,27.2357,103.0555,323.0213,3.8926,0,U,41381,999,6158,0.0016928,4.227e-05,0
EUTELSAT 65 WEST A,2016-014A,2024-08-16T05:22:11.676864,1.00268346,0.0002302,0.0708,309.1609,195.5926,195.6629,0,U,41382,999,3081,0,-2.72e-06,0
ARIANE 5 R/B,2016-014B,2024-08-16T16:05:38.329728,3.04502878,0.6727127,0.6418,14.9326,336.7521,1.0894,0,U,41383,999,8109,0.0013435,0.00023255,0
IRNSS-1F,2016-015A,2024-08-16T20:07:45.497856,1.00277591,0.0018581,3.7079,115.6103,177.7596,6.793,0,U,41384,999,3094,0,1.58e-06,0
PSLV R/B,2016-015B,2024-08-16T05:37:53.369472,4.49084112,0.5742917,17.7477,238.3153,242.2397,48.9098,0,U,41385,999,12630,0.0020696,0.00035759,0
BREEZE-M DEB [TANK],2016-017C,2024-08-14T21:41:26.363904,3.82651749,0.5897038,51.677,12.4986,59.4866,345.7678,0,U,41390,999,11772,-0.0002181,-5.1e-07,0
ASTRO-H (HITOMI) DEB,2016-012L,2024-08-16T05:14:53.267712,15.50231665,0.0005415,30.9957,231.7097,241.3038,118.7067,0,U,41442,999,46801,0.0027498,0.00164315,0
GOES 16,2016-071A,2024-08-16T12:44:49.478208,1.00270784,4.6e-05,0.0768,268.1791,230.1116,303.1162,0,U,41866,999,2838,0,-2.45e-06,0
ATLAS 5 CENTAUR R/B,2016-071B,2024-08-15T10:23:03.989184,1.89345346,0.492807,11.8517,320.993,33.9086,349.4779,0,U,41867,999,5351,0,-1.38e-06,0
TIANLIAN 1-04,2016-072A,2024-08-16T19:05:58.752960,1.00268746,0.0037032,0.038,242.04,274.1772,272.7735,0,U,41869,999,2859,0,3.3e-07,0
CZ-3C R/B,2016-072B,2024-08-15T11:26:58.269120,5.1679252,0.5149336,16.7908,151.7718,102.9914,317.0143,0,U,41870,999,12560,0.0012109,9.21e-06,0
GOKTURK 1A,2016-073A,2024-08-16T20:17:39.148800,14.62766883,0.0001456,98.142,123.3899,83.7342,276.4025,0,U,41875,999,41097,0.0004113,2.051e-05,0
RESOURCESAT-2A,2016-074A,2024-08-16T19:34:57.081216,14.21660257,0.0001564,98.6422,302.0423,140.654,219.4751,0,U,41877,999,39920,0.00051504,1.087e-05,0
PSLV R/B,2016-074B,2024-08-16T06:09:18.591552,14.23809604,0.0002616,98.6592,317.839,16.5239,343.6024,0,U,41878,999,39962,0.00024844,5.25e-06,0
WGS F8 (USA 272),2016-075A,2024-08-16T18:58:20.108928,1.00273584,6.34e-05,0.0107,110.1974,11.1913,278.6633,0,U,41879,999,2821,0,-2e-06,0
FENGYUN 4A,2016-077A,2024-08-16T20:42:04.533408,1.00276312,0.0008401,0.6055,86.0967,342.9383,293.5481,0,U,41882,999,2827,0,-1.96e-06,0
CYGFM05,2016-078A,2024-08-16T12:42:06.784416,15.2860094,0.0010801,34.9602,278.6535,28.1976,331.9323,0,U,41884,999,42531,0.00070509,0.00020168,0
CYGFM04,2016-078B,2024-08-16T11:32:12.905952,15.29527523,0.0008266,34.9368,262.4138,54.9253,305.2237,0,U,41885,999,42540,0.00070727,0.00020806,0
CYGFM02,2016-078C,2024-08-16T11:49:03.069696,15.29865614,0.0010904,34.9455,264.4593,41.0313,319.1221,0,U,41886,999,42549,0.00069984,0.00020819,0
CYGFM01,2016-078D,2024-08-16T12:28:04.346400,15.28394921,0.001034,34.9493,282.6427,16.5393,343.5658,0,U,41887,999,42524,0.00069493,0.00019748,0
CYGFM08,2016-078E,2024-08-16T12:00:16.696800,15.2934901,0.0011441,34.9484,270.3803,42.6094,317.5507,0,U,41888,999,42542,0.00069856,0.00020453,0
CYGFM07,2016-078G,2024-08-16T11:08:59.455392,15.29691058,0.0007991,34.9523,261.8819,55.9574,304.19,0,U,41890,999,42541,0.00071494,0.00021137,0
CYGFM03,2016-078H,2024-08-16T12:04:23.653920,15.29581426,0.0008811,34.9456,262.8885,34.4298,325.6988,0,U,41891,999,42540,0.00069032,0.00020341,0
PEGASUS R/B,2016-078J,2024-08-16T08:45:03.387456,15.31334488,0.000928,34.9393,247.8314,46.9375,313.2117,0,U,41892,999,42571,0.00074524,0.00023207,0
ECHOSTAR 19,2016-079A,2024-08-14T07:43:34.788288,1.00271751,0.0001685,0.0149,107.4087,34.5995,200.0132,0,U,41893,999,2796,0,-1.29e-06,0
MOHAMMED VI-A,2017-070A,2024-08-16T20:28:00.488352,14.77039217,0.0001224,97.953,300.8047,85.8943,274.2407,0,U,43005,999,36517,0.00044926,3.119e-05,0
FENGYUN 3D,2017-072A,2024-08-16T20:38:10.531968,14.19395929,0.0002034,98.9148,184.8836,129.9509,230.1846,0,U,43010,999,35002,0.00028321,5.5e-06,0
HEAD-1,2017-072B,2024-08-16T20:57:25.657632,14.27756235,0.0009035,98.9475,219.6279,299.5069,60.5209,0,U,43011,999,35180,0.00078163,1.884e-05,0
CZ-4C R/B,2017-072C,2024-08-16T05:30:24.979392,14.57485779,0.0125898,98.5974,304.9159,54.2669,307.0162,0,U,43012,999,35899,0.00036263,1.781e-05,0
NOAA 20 (JPSS-1),2017-073A,2024-08-16T19:37:14.013984,14.19563176,0.0002283,98.707,166.7258,67.7112,292.4306,0,U,43013,999,34950,0.0002058,3.91e-06,0
BUCCANEER RMM,2017-073B,2024-08-16T05:42:55.795392,15.48359243,0.00758,97.5754,122.797,23.7497,336.7221,0,U,43014,999,36606,0.0044137,0.00269486,0
MIRATA,2017-073C,2024-08-16T05:05:08.521152,15.11152341,0.0162357,97.5871,113.3544,56.0014,305.6519,0,U,43015,999,36538,0.0020307,0.00047015,0
MAKERSAT 0,2017-073D,2024-08-16T13:33:50.846112,15.0027103,0.0191239,97.5742,106.917,78.5092,283.7538,0,U,43016,999,36496,0.0016156,0.0002992,0
RADFXSAT (FOX-1B),2017-073E,2024-08-16T12:51:03.574656,14.94784589,0.0208245,97.5694,102.9156,91.7614,270.7469,0,U,43017,999,36467,0.0012438,0.0002089,0
EAGLESAT 1,2017-073F,2024-08-16T04:11:29.873184,15.09786319,0.0167375,97.5865,113.1016,60.9335,300.8542,0,U,43018,999,36513,0.002227,0.00050413,0
JILIN-1 04,2017-074A,2024-08-16T20:42:05.448384,15.22024507,0.0007095,97.4873,321.2707,66.2571,293.9408,0,U,43022,999,37175,0.00082261,0.00018769,0
JILIN-1 05,2017-074B,2024-08-16T19:36:55.646208,15.21653122,0.0007673,97.4897,321.7379,78.7284,281.4814,0,U,43023,999,37175,0.00066697,0.00015034,0
JILIN-1 06,2017-074C,2024-08-16T19:30:18.632160,15.18965325,0.0010351,97.4892,320.2548,84.4287,275.8127,0,U,43024,999,37166,0.00076401,0.00015946,0
YAOGAN-30 03A,2017-075A,2024-08-16T20:08:25.521792,14.95937036,0.000242,34.9955,13.3239,222.9765,137.0752,0,U,43028,999,36686,0.00083442,9.511e-05,0
YAOGAN-30 03B,2017-075B,2024-08-16T19:35:02.666112,14.9594241,0.0004564,34.9947,13.0048,160.4016,199.6866,0,U,43029,999,36685,0.0008505,9.698e-05,0
YAOGAN-30 03C,2017-075C,2024-08-16T19:02:39.462720,14.95934366,0.0002661,34.996,13.0365,334.8498,25.2078,0,U,43030,999,36683,0.00086772,9.892e-05,0
CZ-2C R/B,2017-075D,2024-08-16T01:12:13.038624,15.43049793,0.0058299,35.204,139.6198,310.1019,49.4605,0,U,43031,999,37347,0.0010762,0.00052389,0
COSMOS 2524,2017-076A,2024-08-16T21:09:31.812480,13.97264027,0.0010353,67.1463,21.2597,280.2914,79.7003,0,U,43032,999,34214,0.00020142,2.07e-06,0
LKW-1,2017-077A,2024-08-16T21:14:52.687392,15.23838498,0.0002643,97.1993,284.8959,147.4839,212.6562,0,U,43034,999,37279,0.00076051,0.00018294,0
ALCOMSAT 1,2017-078A,2024-08-16T11:16:13.795104,1.00272036,0.0001953,0.0307,168.3655,1.8751,299.3678,0,U,43039,999,2458,0,-1.83e-06,0
GSAT0215 (GALILEO 19),2017-079A,2024-08-16T03:19:02.098272,1.70474262,0.0003563,55.318,239.9465,263.2864,96.7225,0,U,43055,999,4156,0,8.7e-07,0
GSAT0216 (GALILEO 20),2017-079B,2024-08-15T20:14:20.414976,1.70474386,0.0004937,55.319,239.9545,272.2643,87.729,0,U,43056,999,4157,0,8.8e-07,0
GSAT0217 (GALILEO 21),2017-079C,2024-08-14T21:22:29.165376,1.70474384,0.0004214,55.3169,239.9794,282.8746,77.1282,0,U,43057,999,4154,0,8.6e-07,0
GSAT0218 (GALILEO 22),2017-079D,2024-08-16T06:48:43.737120,1.70474303,0.000544,55.3168,239.9386,269.3061,90.6806,0,U,43058,999,4156,0,8.7e-07,0
ARIANE 5 R/B,2017-079E,2024-08-16T11:46:55.906176,1.73189112,0.0002411,55.3259,237.5913,271.5152,88.5008,0,U,43059,999,4222,0,8.6e-07,0
CZ-4C DEB,2017-072D,2024-08-15T11:47:35.467872,13.79096073,0.023132,98.5666,317.6946,7.0278,353.4028,0,U,44613,999,32545,0.00080667,9.69e-06,0
CZ-4C DEB,2017-072E,2024-08-16T03:43:10.191648,13.79786024,0.0231197,98.6971,358.8417,39.017,322.7411,0,U,44614,999,33899,0.0010146,1.245e-05,0
GSAT0221 (GALILEO 25),2018-060A,2024-08-16T04:26:14.209152,1.70476047,0.0002725,57.3039,359.8548,261.5391,98.4334,0,U,43564,999,3774,0,-7.8e-07,0
GSAT0222 (GALILEO 26),2018-060B,2024-08-15T19:36:21.139776,1.70475823,0.0003249,57.3081,359.8666,217.5377,142.4436,0,U,43565,999,3778,0,-7.7e-07,0
GSAT0219 (GALILEO 23),2018-060C,2024-08-15T10:51:02.736000,1.70476095,0.0001759,57.3068,359.8782,267.6589,92.3254,0,U,43566,999,3775,0,-7.7e-07,0
GSAT0220 (GALILEO 24),2018-060D,2024-08-13T21:54:44.915904,1.70476066,0.000197,57.3068,359.9205,260.692,99.2916,0,U,43567,999,3770,0,-7.8e-07,0
ARIANE 5 R/B,2018-060E,2024-08-16T02:46:05.875392,1.73226821,0.0004214,57.1667,357.6167,250.3926,109.5665,0,U,43568,999,3837,0,-7.8e-07,0
IRIDIUM 160,2018-061A,2024-08-16T18:30:08.840160,14.34227274,0.000241,86.4016,336.5366,101.507,258.6396,0,U,43569,999,31742,0.00043829,1.248e-05,0
IRIDIUM 166,2018-061B,2024-08-16T09:03:52.523136,14.34214506,0.0002289,86.4015,336.6606,88.8745,271.2713,0,U,43570,999,31739,0.00018185,5.29e-06,0
IRIDIUM 158,2018-061C,2024-08-16T08:18:12.750624,14.34227156,0.0002032,86.4016,336.6833,93.7797,266.3631,0,U,43571,999,31735,0.00026962,7.75e-06,0
IRIDIUM 165,2018-061D,2024-08-16T08:54:46.114848,14.34210111,0.0002177,86.4029,336.7084,98.9153,261.2289,0,U,43572,999,31738,0.00030324,8.69e-06,0
IRIDIUM 155,2018-061E,2024-08-16T09:40:24.951648,14.34222024,0.0002077,86.4009,336.5952,87.362,272.7813,0,U,43573,999,31735,0.00041132,1.172e-05,0
IRIDIUM 154,2018-061F,2024-08-16T09:13:01.869888,14.34214932,0.0002297,86.4018,336.7036,98.3242,261.8214,0,U,43574,999,31740,0.00031032,8.89e-06,0
IRIDIUM 163,2018-061G,2024-08-16T08:45:37.500768,14.342097,0.000242,86.402,336.6493,98.2848,261.8622,0,U,43575,999,31737,5.3392e-05,1.69e-06,0
IRIDIUM 156,2018-061H,2024-08-16T08:09:05.423040,14.34213332,0.0001975,86.4012,336.6648,95.4018,264.7403,0,U,43576,999,31736,0.00020402,5.91e-06,0
IRIDIUM 164,2018-061J,2024-08-16T09:22:09.114528,14.34223,0.0002146,86.4013,336.6736,102.9539,257.1896,0,U,43577,999,31741,0.00029387,8.43e-06,0
IRIDIUM 159,2018-061K,2024-08-16T08:36:29.348064,14.34216788,0.0002256,86.4014,336.6379,95.4593,264.686,0,U,43578,999,31737,0.00014077,4.14e-06,0
BEIDOU-3 M5,2018-062A,2024-08-16T12:33:09.745344,1.86228711,0.000529,54.1293,205.0793,282.6768,77.2473,0,U,43581,999,4116,0,6.8e-07,0
BEIDOU-3 M6,2018-062B,2024-08-16T09:19:34.907808,1.86229716,0.0004868,54.129,205.0734,0.055,359.9289,0,U,43582,999,4116,0,6.9e-07,0
YZ-1 R/B,2018-062D,2024-08-16T03:21:49.328928,1.78871034,0.0039923,54.0878,211.4591,39.3218,320.9601,0,U,43584,999,3953,0,7.3e-07,0
GAOFEN-11 01,2018-063A,2024-08-16T20:43:05.874816,15.32344786,0.0006651,97.2277,294.262,246.3515,113.7029,0,U,43585,999,33704,0.00072358,0.00022577,0
TELKOM 4 (MERAH PUTIH),2018-064A,2024-08-15T14:53:51.483264,1.00269336,0.000188,0.0168,92.6816,79.9524,123.3261,0,U,43587,999,2214,0,-3.38e-06,0
BEIDOU-3 M12,2018-067A,2024-08-16T07:42:53.277408,1.86229665,0.0007099,54.2197,203.7624,19.0672,340.942,0,U,43602,999,4064,0,6.8e-07,0
BEIDOU-3 M11,2018-067B,2024-08-16T10:55:38.151552,1.86231437,0.0004017,54.2169,203.7229,1.9187,358.0647,0,U,43603,999,4067,0,6.7e-07,0
YZ-1 R/B,2018-067D,2024-08-14T20:44:35.818080,1.78798258,0.0049437,53.8653,209.3746,38.9952,321.3542,0,U,43605,999,3900,0,7.5e-07,0
HAIYANG-1C,2018-068A,2024-08-16T19:38:09.100032,14.34164085,0.0007904,98.6019,297.8761,280.9566,79.073,0,U,43609,999,31114,0.00029815,7.91e-06,0
CZ-2C R/B,2018-068B,2024-08-16T12:16:53.915232,14.55442159,0.0087316,98.7115,33.1873,234.6952,124.6056,0,U,43610,999,31543,0.00045797,2.041e-05,0
TELSTAR 18V,2018-069A,2024-08-16T05:10:48.421344,1.00270286,0.0002278,0.0164,96.9458,42.0316,41.8229,0,U,43611,999,2191,0,-2.9e-06,0
FALCON 9 R/B,2018-069B,2024-08-16T12:44:21.386976,4.88550202,0.5486369,27.0557,83.4381,211.4028,99.3013,0,U,43612,999,10008,0.0018032,0.00025249,0
WEINA 1A,2018-011A,2024-08-16T08:24:46.289664,14.95199376,0.0003289,34.9964,259.0522,309.1621,50.8792,0,U,43169,999,35757,0.00064868,7.247e-05,0
YAOGAN-30 05A,2018-011B,2024-08-16T12:19:16.101120,14.95945724,0.0006236,34.9954,255.4365,236.4884,123.5227,0,U,43170,999,35761,0.00073555,8.384e-05,0
YAOGAN-30 05B,2018-011C,2024-08-16T12:11:21.937056,14.95988695,0.0003854,34.9945,255.2643,275.0976,84.929,0,U,43171,999,35761,0.00073921,8.433e-05,0
YAOGAN-30 05C,2018-011D,2024-08-16T12:03:10.123200,14.95947262,0.000364,34.996,255.4781,310.367,49.6718,0,U,43172,999,35761,0.00072864,8.303e-05,0
AL YAH 3,2018-012A,2024-08-16T19:52:43.247712,1.0027036,0.0002383,0.0552,275.0803,235.7053,92.9834,0,U,43174,999,2412,0,-1.54e-06,0
SES-14,2018-012B,2024-08-14T21:23:22.267680,1.00270879,0.0001403,0.0123,26.9715,97.5365,112.6226,0,U,43175,999,29,0,-2.7e-06,0
ARIANE 5 R/B,2018-012C,2024-08-16T13:01:37.928640,1.99381685,0.7498947,20.9571,194.7335,137.3917,314.775,0,U,43176,999,4577,0.0019215,2.444e-05,0
ARIANE 5 DEB [SYLDA],2018-012D,2024-08-16T01:16:40.570176,2.43096983,0.7141297,20.7779,147.0604,229.6249,42.3479,0,U,43177,999,4835,0.0063324,0.00010127,0
FALCON 9 R/B,2018-013B,2024-08-16T15:48:53.771616,2.00578082,0.7509816,24.4687,355.5994,206.096,78.7649,0,U,43179,999,3978,0.0018824,7.139e-05,0
KANOPUS-V 3,2018-014A,2024-08-16T20:22:18.299424,15.22465025,0.0002291,97.3913,136.5928,98.2429,261.9067,0,U,43180,999,36286,0.00039146,8.996e-05,0
KANOPUS-V 4,2018-014B,2024-08-16T19:34:25.242816,15.22496897,0.0002309,97.3918,136.6486,93.6806,266.4695,0,U,43181,999,36287,0.00044377,0.00010218,0
LEMUR-2-JIN-LUEN,2018-014C,2024-08-16T07:31:10.815168,15.14695306,0.0014044,97.5806,132.158,138.7709,221.4586,0,U,43182,999,35784,0.0016396,0.0003046,0
LEMUR-2-URAMCHANSOL,2018-014D,2024-08-16T15:37:57.064224,15.19559808,0.0014558,97.5804,134.4066,125.8503,234.4086,0,U,43183,999,35801,0.0024716,0.0005297,0
LEMUR-2-KADI,2018-014E,2024-08-16T05:24:48.017664,15.15733394,0.0013,97.5586,131.4825,118.999,241.2547,0,U,43184,999,35785,0.0016266,0.0003111,0
LEMUR-2-THENICKMOLO,2018-014F,2024-08-16T05:54:27.501696,15.17895778,0.0010013,97.5786,132.9543,116.6189,243.6071,0,U,43185,999,35790,0.0017185,0.0003495,0
S-NET D,2018-014G,2024-08-16T11:46:39.055584,15.05493996,0.0011154,97.5827,130.2855,153.1674,207.0132,0,U,43186,999,35757,0.00087226,0.00012511,0
S-NET B,2018-014H,2024-08-16T11:50:21.221088,15.05485268,0.0012127,97.5834,130.2424,149.3172,210.8766,0,U,43187,999,35757,0.00084568,0.00012128,0
S-NET A,2018-014J,2024-08-16T11:48:13.692096,15.0549534,0.0011943,97.5839,130.3585,150.0345,210.1567,0,U,43188,999,35757,0.00086626,0.00012428,0
S-NET C,2018-014K,2024-08-16T11:53:20.588352,15.05485668,0.0013922,97.5856,130.3221,143.8803,216.3367,0,U,43189,999,35612,0.00084013,0.00012054,0
ZHANGHENG 1 (CSES),2018-015C,2024-08-16T20:56:21.582528,15.20841931,0.000927,97.6166,14.2126,306.8223,53.2161,0,U,43194,999,36291,0.0011543,0.00025502,0
GOMX-4B,2018-015E,2024-08-16T13:51:21.185856,15.75824685,0.0003902,97.6033,48.2929,89.1656,271.0056,0,U,43196,999,36499,0.0011849,0.00185601,0
GOMX-4A,2018-015F,2024-08-16T16:12:01.402272,16.22614166,0.0005972,97.5779,55.4082,273.9805,86.0802,0,U,43197,999,36548,0.0010961,0.02529732,2.5512e-06
BEIDOU-3 M4,2018-018A,2024-08-15T00:12:15.012576,1.86231432,0.0005685,56.0671,85.3886,19.5727,340.5333,0,U,43207,999,4424,0,-7e-08,0
BEIDOU-3 M3,2018-018B,2024-08-15T01:48:11.452320,1.8623133,0.0006316,56.0667,85.3908,329.4309,30.6166,0,U,43208,999,4424,0,-7e-08,0
YZ-1 R/B,2018-018D,2024-08-13T10:08:52.998432,1.7905561,0.0036521,55.8494,91.6066,97.5175,262.9782,0,U,43210,999,4251,0,-1.1e-07,0
TJS-4,2019-070A,2024-08-16T21:47:37.414752,1.00269411,0.0004064,0.0645,269.4232,83.8966,22.8302,0,U,44637,999,1782,0,-1.67e-06,0
CZ-3B R/B,2019-070B,2024-08-15T22:48:05.933952,10.83377225,0.2439798,26.8532,93.2064,208.964,135.0585,0,U,44638,999,8864,0.00092162,0.01798996,-2.6615e-06
GAOFEN-7,2019-072A,2024-08-16T20:12:00.345888,15.21623867,0.0004575,97.3312,301.6938,227.3986,132.6864,0,U,44703,999,26587,0.00064785,0.00014582,0
