OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-4017,2022-053AC,2024-08-16T21:23:34.377504,15.08844438,0.0001478,53.2139,182.0459,82.784,277.332,0,U,52682,999,12472,0.00010059,1.313e-05,0
STARLINK-4039,2022-053AD,2024-08-16T03:27:50.112000,15.08843079,0.0001414,53.2161,185.3976,83.6493,276.4661,0,U,52683,999,12500,0.00041221,6.279e-05,0
STARLINK-4014,2022-053AE,2024-08-16T03:49:01.782624,15.08849302,0.0001413,53.2143,185.3317,94.512,265.6033,0,U,52684,999,12500,0.00043062,6.574e-05,0
STARLINK-4029,2022-053AF,2024-08-16T04:52:37.247232,15.08846042,0.0001375,53.2145,185.1348,90.056,270.059,0,U,52685,999,12499,0.00016662,2.365e-05,0
STARLINK-4005,2022-053AG,2024-08-16T04:11:39.360768,15.08851919,0.0001154,53.215,185.5429,89.2002,270.9122,0,U,52686,999,12499,0.00049437,7.591e-05,0
STARLINK-3981,2022-053AH,2024-08-16T20:41:10.982688,15.08845572,0.0001208,53.2143,182.1759,97.1732,262.9398,0,U,52687,999,12472,0.00021365,3.115e-05,0
STARLINK-4032,2022-053AJ,2024-08-16T20:35:52.050912,15.08845736,0.0001405,53.2147,182.0764,81.7949,278.3202,0,U,52688,999,12472,0.00021396,3.119e-05,0
STARLINK-4078,2022-053AK,2024-08-16T04:31:25.628448,15.08846076,0.0001454,53.2154,185.2027,90.2102,269.9057,0,U,52689,999,12502,0.00033657,5.073e-05,0
STARLINK-4035,2022-053AL,2024-08-16T04:57:55.288224,15.08839866,0.0001444,53.2164,185.1164,90.8793,269.2364,0,U,52690,999,12499,0.00028278,4.215e-05,0
STARLINK-3945,2022-053AM,2024-08-16T04:59:21.420384,15.08845798,0.0001355,53.2143,185.362,95.0865,265.0282,0,U,52691,999,12462,0.00064591,0.00010008,0
STARLINK-3993,2022-053AN,2024-08-16T04:04:53.108832,15.08844459,0.0001462,53.2147,185.0126,77.3351,282.7805,0,U,52692,999,12502,0.0002176,3.177e-05,0
STARLINK-3946,2022-053AP,2024-08-16T04:15:32.020416,15.08837305,0.0001326,53.2149,185.2516,91.5766,268.5378,0,U,52693,999,12502,0.00025206,3.726e-05,0
STARLINK-4072,2022-053AQ,2024-08-16T20:30:35.066592,15.08842177,0.0001157,53.2143,182.2121,87.6594,272.453,0,U,52694,999,12472,0.00019401,2.801e-05,0
